CODE,Name,Has DC,PM2.5,DC 5km,DC 10km,DC 15km,HDI (2010),Avg Monthly Wage (2023),Health Establishments (2009),Mean Years Since DC Construction
3306305,Volta Redonda,0,19.15,0,0,0,0.771,2,94,
3306206,Vassouras,0,19.01,0,0,0,0.714,2.2,25,
3306156,Varre-Sai,0,11.23,0,0,0,0.659,2.1,5,
3306107,Valenca,0,18.58,0,0,0,0.738,2,48,
3306008,Tres Rios,0,16.1,0,0,0,0.725,1.9,33,
3305901,Trajano de Moraes,0,12.72,0,0,0,0.667,2,11,
3305802,Teresopolis,0,14.83,0,0,0,0.73,2.1,48,
3305752,Tangua,0,13.38,0,0,0,0.654,1.8,10,
3305703,Sumidouro,0,13.34,0,0,0,0.611,2.3,15,
3305604,Silva Jardim,0,13.38,0,0,0,0.654,2.1,19,
3305554,Seropedica,0,19.09,0,0,0,0.713,3.2,23,
3305505,Saquarema,0,12.87,0,0,0,0.709,1.8,22,
3305406,Sapucaia,0,13.31,0,0,0,0.675,1.9,15,
3305307,Sao Sebastiao do Alto,0,12.51,0,0,0,0.646,2.5,8,
3305208,Sao Pedro da Aldeia,0,12.22,0,0,0,0.712,1.9,29,
3305158,Sao Jose do Vale do Rio Preto,0,15.87,0,0,0,0.66,1.9,12,
3305133,Sao Jose de Uba,0,11.72,0,0,0,0.652,1.8,5,
3305109,Sao Joao de Meriti,1,18.99,5,5,5,0.719,1.6,48,1.75
3305000,Sao Joao da Barra,0,14.3,0,0,0,0.671,4.7,12,
3304904,Sao Goncalo,0,18,0,1,3,0.739,1.8,194,
3304805,Sao Fidelis,0,12.38,0,0,0,0.691,1.6,22,
3304755,Sao Francisco de Itabapoana,0,13.64,0,0,0,0.639,1.8,27,
3304706,Santo Antonio de Padua,0,12.9,0,0,0,0.718,1.7,23,
3304607,Santa Maria Madalena,0,12.38,0,0,0,0.668,2.3,15,
3304557,Rio de Janeiro,1,17,11,11,11,0.799,3.9,257,7.67
3304524,Rio das Ostras,0,12.17,0,0,0,0.773,3.6,19,
3304508,Rio das Flores,0,17.29,0,0,0,0.68,2,13,
3304409,Rio Claro,0,19.13,0,0,0,0.683,2.4,18,
3304300,Rio Bonito,0,13.38,0,0,0,0.71,1.6,35,
3304201,Resende,0,17.41,0,0,0,0.768,2.7,47,
3304151,Quissama,0,12.81,0,0,0,0.704,3.1,19,
3304144,Queimados,0,18.99,0,0,0,0.68,1.9,15,
3304128,Quatis,0,19.15,0,0,0,0.69,1.7,14,
3304110,Porto Real,0,19.15,0,0,0,0.713,3.1,16,
3304102,Porciuncula,0,11.23,0,0,0,0.697,2.1,15,
3304003,Pirai,0,19.15,0,0,0,0.708,2.2,20,
3303955,Pinheiral,0,19.15,0,0,0,0.715,1.8,14,
3303906,Petropolis,0,18.99,0,0,0,0.745,2.3,79,
3303856,Paty do Alferes,0,18.99,0,0,0,0.671,1.9,17,
3303807,Paraty,0,17.51,0,0,0,0.693,2.2,34,
3303708,Paraiba do Sul,0,17.51,0,0,0,0.702,1.8,30,
3303609,Paracambi,0,19.11,0,0,0,0.72,1.5,27,
3303500,Nova Iguacu,0,18.99,0,5,5,0.713,1.9,104,
3303401,Nova Friburgo,0,13.38,0,0,0,0.745,1.7,43,
3303302,Niteroi,0,16.35,1,3,3,0.837,2.8,87,
